frame_index,plugin_timestamp,producer_timestamp,write_to_buffer_time,read_from_buffer_time,write_to_led_buffer_time,read_from_led_buffer_time,render_time,item_duration
122,3.0666666666666695,8.066666666666672,1753497021.932248,1753497022.015785,1753497022.0717225,1753497022.4711468,1753497022.530793,5.0
123,3.1333333333333364,8.133333333333338,1753497021.9846854,1753497022.0742335,1753497022.1274173,1753497022.5311718,1753497022.597299,5.0
124,3.2000000000000033,8.200000000000005,1753497022.0421584,1753497022.1287541,1753497022.1809447,1753497022.5976717,1753497022.674025,5.0
125,3.26666666666667,8.266666666666673,1753497022.1000345,1753497022.1823711,1753497022.2351675,1753497022.6749873,1753497022.740553,5.0
126,3.333333333333337,8.33333333333334,1753497022.1555529,1753497022.2364037,1753497022.2878447,1753497022.7407134,1753497022.7982554,5.0
127,3.400000000000004,8.400000000000006,1753497022.2092812,1753497022.289167,1753497022.3449903,1753497022.799684,1753497022.8594491,5.0
128,3.466666666666671,8.466666666666672,1753497022.2638962,1753497022.3460538,1753497022.398406,1753497022.8595712,1753497022.9280646,5.0
129,3.5333333333333377,8.533333333333339,1753497022.31425,1753497022.3998458,1753497022.4522038,1753497022.92824,1753497023.000691,5.0
130,3.6000000000000045,8.600000000000007,1753497022.3741112,1753497022.4565494,1753497022.5094595,1753497023.0008504,1753497023.06268,5.0
131,3.6666666666666714,8.666666666666673,1753497022.4254124,1753497022.5106347,1753497022.563137,1753497023.0629368,1753497023.126753,5.0
132,3.7333333333333383,8.73333333333334,1753497022.4831169,1753497022.5643475,1753497022.616415,1753497023.1268923,1753497023.2047484,5.0
133,3.800000000000005,8.800000000000008,1753497022.536345,1753497022.6175163,1753497022.674422,1753497023.2049088,1753497023.2672625,5.0
134,3.866666666666672,8.866666666666674,1753497022.5906334,1753497022.6762931,1753497022.7281456,1753497023.2674537,1753497023.3311975,5.0
135,3.933333333333339,8.93333333333334,1753497022.6423073,1753497022.7297218,1753497022.7821603,1753497023.3313842,1753497023.3946521,5.0
136,4.000000000000005,9.000000000000007,1753497022.702042,1753497022.7834158,1753497022.834639,1753497023.3947566,1753497023.4604554,5.0
137,4.066666666666672,9.066666666666674,1753497022.757102,1753497022.835896,1753497022.8847775,1753497023.4606185,1753497023.5229666,5.0
138,4.133333333333338,9.13333333333334,1753497022.8100631,1753497022.885663,1753497022.9361584,1753497023.5232923,1753497023.593698,5.0
139,4.200000000000005,9.200000000000006,1753497022.85945,1753497022.9370072,1753497022.9879289,1753497023.593853,1753497023.6618345,5.0
140,4.266666666666671,9.266666666666673,1753497022.9081922,1753497022.989165,1753497023.0412393,1753497023.662003,1753497023.7321844,5.0
141,4.3333333333333375,9.33333333333334,1753497022.960269,1753497023.0423825,1753497023.0946639,1753497023.7323523,1753497023.7983723,5.0
142,4.400000000000004,9.400000000000006,1753497023.0121589,1753497023.0958269,1753497023.1465876,1753497023.7985268,1753497023.8647165,5.0
143,4.46666666666667,9.466666666666672,1753497023.068021,1753497023.147736,1753497023.2000105,1753497023.864879,1753497023.931204,5.0
144,4.533333333333337,9.533333333333339,1753497023.1200657,1753497023.2061617,1753497023.2579472,1753497023.931393,1753497023.9973655,5.0
145,4.600000000000003,9.600000000000005,1753497023.172074,1753497023.2687228,1753497023.3199117,1753497023.997511,1753497024.0606077,5.0
146,4.66666666666667,9.666666666666671,1753497023.2319229,1753497023.3326433,1753497023.3842065,1753497024.060755,1753497024.127317,5.0
147,4.733333333333336,9.733333333333338,1753497023.2969465,1753497023.3956122,1753497023.4453692,1753497024.1275222,1753497024.1949658,5.0
148,4.8000000000000025,9.800000000000004,1753497023.3604631,1753497023.4619026,1753497023.5122664,1753497024.1951094,1753497024.2604845,5.0
149,4.866666666666669,9.86666666666667,1753497023.4123883,1753497023.5241146,1753497023.5721266,1753497024.260636,1753497024.3270707,5.0
150,4.933333333333335,9.933333333333337,1753497023.492014,1753497023.595111,1753497023.6482527,1753497024.3272185,1753497024.3952906,5.000000000000002
151,0.0,10.000000000000004,1753497023.636037,1753497023.663299,1753497023.7185502,1753497024.395487,1753497024.4663036,5.0
152,0.06666666666666667,10.06666666666667,1753497023.6410623,1753497023.733614,1753497023.7898943,1753497024.4664798,1753497024.5334787,5.0
153,0.13333333333333333,10.133333333333336,1753497023.6642034,1753497023.7998142,1753497023.8552752,1753497024.5336275,1753497024.6010907,5.0
154,0.2,10.200000000000003,1753497023.7346392,1753497023.8661392,1753497023.9217498,1753497024.6012506,1753497024.6685772,5.0
155,0.26666666666666666,10.266666666666671,1753497023.8016915,1753497023.9326391,1753497023.9866827,1753497024.6687403,1753497024.73265,5.0
156,0.3333333333333333,10.333333333333337,1753497023.8677645,1753497023.998719,1753497024.0415328,1753497024.7328224,1753497024.7995737,5.0
157,0.39999999999999997,10.400000000000004,1753497023.9343028,1753497024.062022,1753497024.1124854,1753497024.7997653,1753497024.8683338,5.0
158,0.4666666666666666,10.46666666666667,1753497024.0005581,1753497024.1288161,1753497024.1825664,1753497024.868525,1753497024.938004,5.0
159,0.5333333333333333,10.533333333333337,1753497024.0638711,1753497024.1963758,1753497024.2389948,1753497024.9381847,1753497025.0070047,5.0
160,0.6,10.600000000000003,1753497024.1298332,1753497024.2618818,1753497024.3125312,1753497025.00719,1753497025.074895,5.0
161,0.6666666666666666,10.66666666666667,1753497024.1972992,1753497024.3285456,1753497024.3843575,1753497025.0750895,1753497025.139705,5.0
162,0.7333333333333333,10.733333333333336,1753497024.263441,1753497024.3970318,1753497024.4522047,1753497025.1402378,1753497025.2003908,5.0
163,0.7999999999999999,10.800000000000004,1753497024.3306348,1753497024.469964,1753497024.5253932,1753497025.2005537,1753497025.268096,5.0
164,0.8666666666666666,10.86666666666667,1753497024.398187,1753497024.5348628,1753497024.5937624,1753497025.2685494,1753497025.3378015,5.0
165,0.9333333333333332,10.933333333333337,1753497024.472072,1753497024.6025352,1753497024.6638556,1753497025.338095,1753497025.4043534,5.0
166,0.9999999999999999,11.000000000000004,1753497024.5367677,1753497024.6700273,1753497024.7324083,1753497025.4046435,1753497025.4739678,5.0
167,1.0666666666666667,11.06666666666667,1753497024.6038415,1753497024.7344916,1753497024.793008,1753497025.474164,1753497025.5416737,5.0
168,1.1333333333333333,11.133333333333336,1753497024.6719596,1753497024.8011515,1753497024.861045,1753497025.541859,1753497025.608308,5.0
169,1.2,11.200000000000003,1753497024.7354903,1753497024.8700733,1753497024.9332254,1753497025.6085064,1753497025.6747112,5.0
170,1.2666666666666666,11.26666666666667,1753497024.8020709,1753497024.9397764,1753497025.0060327,1753497025.6748974,1753497025.7422101,5.0
171,1.3333333333333333,11.333333333333337,1753497024.8714972,1753497025.0087216,1753497025.0746064,1753497025.7424102,1753497025.8013377,5.0
172,1.4,11.400000000000004,1753497024.9423594,1753497025.0770426,1753497025.1438863,1753497025.8015912,1753497025.8667722,5.0
173,1.4666666666666666,11.46666666666667,1753497025.0098875,1753497025.145191,1753497025.2133443,1753497025.8669379,1753497025.9221754,5.0
174,1.5333333333333332,11.533333333333337,1753497025.077391,1753497025.2144692,1753497025.277971,1753497025.9222736,1753497025.9876602,5.0
175,1.5999999999999999,11.600000000000003,1753497025.146904,1753497025.279092,1753497025.3436906,1753497025.9878497,1753497026.0561078,5.0
176,1.6666666666666665,11.66666666666667,1753497025.2155907,1753497025.3448253,1753497025.408853,1753497026.0563033,1753497026.1216443,5.0
177,1.7333333333333332,11.733333333333336,1753497025.2801037,1753497025.4099905,1753497025.4737492,1753497026.1217616,1753497026.1941116,5.0
178,1.7999999999999998,11.800000000000004,1753497025.3464684,1753497025.4757707,1753497025.5409722,1753497026.1942723,1753497026.2619429,5.0
179,1.8666666666666665,11.86666666666667,1753497025.4118726,1753497025.5433197,1753497025.6081786,1753497026.2621138,1753497026.3323948,5.0
180,1.9333333333333331,11.933333333333337,1753497025.4768362,1753497025.6101487,1753497025.6739976,1753497026.3325834,1753497026.4014413,5.0
181,1.9999999999999998,12.000000000000004,1753497025.5445585,1753497025.6763113,1753497025.7419386,1753497026.4016178,1753497026.4707932,5.0
182,2.0666666666666664,12.06666666666667,1753497025.6112258,1753497025.746381,1753497025.812932,1753497026.4710171,1753497026.5397573,5.0
183,2.1333333333333333,12.133333333333336,1753497025.6777017,1753497025.8148847,1753497025.879035,1753497026.5399518,1753497026.607851,5.0
184,2.2,12.200000000000003,1753497025.7476692,1753497025.8797457,1753497025.9428685,1753497026.6080317,1753497026.6741345,5.0
185,2.266666666666667,12.266666666666671,1753497025.814822,1753497025.943859,1753497026.0027816,1753497026.674321,1753497026.7392786,5.0
186,2.333333333333334,12.333333333333337,1753497025.8806863,1753497026.0043197,1753497026.065178,1753497026.7396352,1753497026.806955,5.0
187,2.400000000000001,12.400000000000004,1753497025.944672,1753497026.0659986,1753497026.1158264,1753497026.8071349,1753497026.874047,5.0
188,2.4666666666666677,12.466666666666672,1753497026.004778,1753497026.1225202,1753497026.1616986,1753497026.8746715,1753497026.9417026,5.0
189,2.5333333333333345,12.533333333333339,1753497026.0666313,1753497026.1959567,1753497026.2479863,1753497026.9418902,1753497027.0069118,5.0
190,2.6000000000000014,12.600000000000005,1753497026.1236906,1753497026.2634566,1753497026.3224077,1753497027.007214,1753497027.072794,5.0
191,2.6666666666666683,12.666666666666671,1753497026.1967955,1753497026.3339598,1753497026.3955536,1753497027.0730674,1753497027.1399398,5.0
192,2.733333333333335,12.733333333333338,1753497026.2648401,1753497026.4029334,1753497026.4653041,1753497027.1401188,1753497027.203568,5.0
193,2.800000000000002,12.800000000000006,1753497026.3363616,1753497026.4746366,1753497026.5394626,1753497027.203756,1753497027.26158,5.0
194,2.866666666666669,12.866666666666672,1753497026.4039905,1753497026.541443,1753497026.6076295,1753497027.2619002,1753497027.3311853,5.0
195,2.933333333333336,12.933333333333339,1753497026.4760182,1753497026.6093428,1753497026.6740196,1753497027.3315651,1753497027.3987558,5.0
196,3.0000000000000027,13.000000000000007,1753497026.5427685,1753497026.6756616,1753497026.740211,1753497027.3990834,1753497027.4650817,5.0
197,3.0666666666666695,13.066666666666674,1753497026.6106167,1753497026.7413359,1753497026.8067331,1753497027.4653563,1753497027.5346951,5.0
198,3.1333333333333364,13.13333333333334,1753497026.6772897,1753497026.8084884,1753497026.874522,1753497027.5350044,1753497027.6043801,5.0
199,3.2000000000000033,13.200000000000006,1753497026.743136,1753497026.8762794,1753497026.9408991,1753497027.6046937,1753497027.6706152,5.0
200,3.26666666666667,13.266666666666673,1753497026.8104777,1753497026.9433343,1753497027.007916,1753497027.6709075,1753497027.7372718,5.0
201,3.333333333333337,13.333333333333341,1753497026.8781276,1753497027.0089219,1753497027.073514,1753497027.7375681,1753497027.8071766,5.0
202,3.400000000000004,13.400000000000007,1753497026.9446113,1753497027.0748594,1753497027.139707,1753497027.807459,1753497027.8743446,5.0
203,3.466666666666671,13.466666666666674,1753497027.0108657,1753497027.1416082,1753497027.2200255,1753497027.874535,1753497027.9416652,5.0
204,3.5333333333333377,13.533333333333342,1753497027.0765772,1753497027.2212079,1753497027.2837405,1753497027.9418452,1753497028.0038536,5.0
205,3.6000000000000045,13.600000000000009,1753497027.142618,1753497027.2849693,1753497027.3490324,1753497028.0041296,1753497028.0735118,5.0
